model,condition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
rf_chi2,clean,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
rf_chi2,gaussian_noise_1pct_mean,0.6786138613861386,,0.8135188496447627,0.6786138613861386,0.6750777629912592
rf_chi2,gaussian_noise_5pct_mean,0.4829702970297029,,0.75758096065852,0.482970297029703,0.4260048495428997
rf_chi2,feature_mask_1pct_mean,0.9566336633663364,,0.9574164197474684,0.9566336633663364,0.9567336098524
rf_chi2,feature_mask_5pct_mean,0.9526732673267329,,0.9539272047528004,0.9526732673267329,0.9528531250337408
weighted_rf_chi2,clean,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
weighted_rf_chi2,gaussian_noise_1pct_mean,0.669108910891089,,0.8090180168090301,0.669108910891089,0.6637575100044858
weighted_rf_chi2,gaussian_noise_5pct_mean,0.4829702970297029,,0.7599520448005884,0.4829702970297031,0.430885354398454
weighted_rf_chi2,feature_mask_1pct_mean,0.9568316831683166,,0.9576361970288272,0.9568316831683166,0.9569391547981344
weighted_rf_chi2,feature_mask_5pct_mean,0.9566336633663364,,0.9575255248379536,0.9566336633663364,0.9567168097621608
extra_trees_chi2,clean,0.9485148514851484,0.9485148514851484,0.9505900112792868,0.9485148514851484,0.9483173932519116
extra_trees_chi2,gaussian_noise_1pct_mean,0.9227722772277228,,0.9324664340703002,0.9227722772277228,0.9242958684334632
extra_trees_chi2,gaussian_noise_5pct_mean,0.7843564356435644,,0.8766625157137415,0.7843564356435644,0.7974334412713134
extra_trees_chi2,feature_mask_1pct_mean,0.9485148514851484,,0.9506074538464198,0.9485148514851484,0.9483292723892024
extra_trees_chi2,feature_mask_5pct_mean,0.9483168316831684,,0.950412472800208,0.9483168316831684,0.948172852323682
