model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_samples
random_forest_all,42,0.9782118707738543,0.9538968500409043,0.8647484084891902,0.9538968500409043,0.8921649502180676,0.6675887000164948,0.02948979998473078,78,7986
random_forest_chi2,42,0.9787127473077887,0.9523088235065964,0.8678688971490548,0.9523088235065964,0.8935651139924344,0.7566977999813389,0.02904960000887513,60,7986
extra_trees_chi2,42,0.9650638617580767,0.9623225812821156,0.8306916895743303,0.9623225812821156,0.8620833446551351,0.3941925000108313,0.030715800006873906,60,7986
weighted_rf_chi2,42,0.9787127473077887,0.9523088235065964,0.8678688971490548,0.9523088235065964,0.8935651139924344,1.8831071000022348,0.10179019998759031,60,7986
random_forest_all,2024,0.9775857751064363,0.9512966674562536,0.8633293248175523,0.9512966674562536,0.8894412762592889,0.6826507000077982,0.029840599978342652,78,7986
random_forest_chi2,2024,0.9784623090408214,0.9541479263674555,0.8675776401039592,0.9541479263674555,0.8941173831321747,0.7101237000024412,0.02911929998663254,60,7986
extra_trees_chi2,2024,0.9655647382920111,0.9626481527898392,0.8323676053255433,0.9626481527898392,0.8633519678215082,0.39974829999846406,0.029710900009376928,60,7986
weighted_rf_chi2,2024,0.9783370899073378,0.9540223770893638,0.8671982688150432,0.9540223770893638,0.8936995928509421,1.8472402000043076,0.11846379999769852,60,7986
random_forest_all,3407,0.9775857751064363,0.9530923891272748,0.8644712319275181,0.9530923891272748,0.8902585584391159,0.644652099988889,0.02916529998765327,78,7986
random_forest_chi2,3407,0.9783370899073378,0.9482817608003258,0.8661003246879693,0.9482817608003258,0.8912074267284449,0.7144560000160709,0.028067000006558374,60,7986
extra_trees_chi2,3407,0.9656899574254946,0.9628914006018846,0.8321528877083992,0.9628914006018846,0.8634821168707921,0.3705612000194378,0.028340899996692315,60,7986
weighted_rf_chi2,3407,0.9784623090408214,0.9502619588201278,0.8668001916987113,0.9502619588201278,0.8921995954536577,1.8388391000044066,0.10546369999065064,60,7986
