model,seed,condition,macro_f1,recall_Bot,recall_Brute Force,recall_DoS/DDoS,recall_Normal,recall_Web Attack,train_seconds
rccf,2024,clean,0.8913329243822133,0.9965753424657534,0.9190207156308852,0.9986666666666667,0.9923333333333333,0.8415841584158416,
rccf,2024,missing_10pct,0.8487386446275759,0.7705479452054794,0.8945386064030132,0.996,0.996,0.6534653465346535,
rccf,2024,offset_drift,0.7376971564959101,0.5821917808219178,0.864406779661017,0.9813333333333333,0.9993333333333333,0.0594059405940594,
equal_rf_chi2,2024,clean,0.8922938472322974,0.9965753424657534,0.9190207156308852,0.999,0.992,0.8514851485148515,
equal_rf_chi2,2024,missing_10pct,0.8533726050296828,0.7636986301369864,0.8920276208411801,0.9953333333333333,0.9946666666666667,0.6831683168316832,
equal_rf_chi2,2024,offset_drift,0.737803737152084,0.5821917808219178,0.8631512868801005,0.9833333333333333,0.999,0.0594059405940594,
rccf,2024,label_noise_5pct,0.8852895728568508,0.9965753424657534,0.9215317011927181,0.997,0.99,0.8118811881188119,120.4697410000008
equal_rf_chi2,2024,label_noise_5pct,0.882664173947609,0.9931506849315068,0.9196484620213434,0.9966666666666667,0.9893333333333333,0.8118811881188119,
rccf,2024,label_noise_10pct,0.8823883789492166,1.0,0.9234149403640929,0.996,0.9893333333333333,0.7821782178217822,122.21366180000041
equal_rf_chi2,2024,label_noise_10pct,0.8817595761168182,0.9965753424657534,0.9227871939736346,0.995,0.9883333333333333,0.801980198019802,
rccf,3407,clean,0.8892485444056542,0.9965753424657534,0.9152542372881356,0.999,0.9923333333333333,0.8415841584158416,
rccf,3407,missing_10pct,0.8576988820085619,0.7945205479452054,0.8983050847457628,0.997,0.9953333333333333,0.7029702970297029,
rccf,3407,offset_drift,0.7357045890285756,0.5856164383561644,0.8656622724419335,0.974,0.998,0.0594059405940594,
equal_rf_chi2,3407,clean,0.8911441006852723,0.9965753424657534,0.9158819836785939,0.9983333333333333,0.9923333333333333,0.8613861386138614,
equal_rf_chi2,3407,missing_10pct,0.8520088602675013,0.7773972602739726,0.8725674827369743,0.9943333333333333,0.9946666666666667,0.7227722772277227,
equal_rf_chi2,3407,offset_drift,0.7255069434365227,0.589041095890411,0.8625235404896422,0.914,0.999,0.0594059405940594,
rccf,3407,label_noise_5pct,0.885507902973165,1.0,0.9158819836785939,0.998,0.9903333333333333,0.8316831683168316,121.61443470000086
equal_rf_chi2,3407,label_noise_5pct,0.8875131404938926,1.0,0.9158819836785939,0.998,0.9906666666666667,0.8514851485148515,
rccf,3407,label_noise_10pct,0.8840669991939173,0.9965753424657534,0.928436911487759,0.995,0.9886666666666667,0.7920792079207921,121.09614339999825
equal_rf_chi2,3407,label_noise_10pct,0.8818328102238059,0.9965753424657534,0.9278091650973007,0.995,0.9883333333333333,0.7722772277227723,
